"TimeInt";"TimeStr";"B_MASA1";"B_MASA2";"B_MASA_3";"B_MASA_4";"CAUDAL_1";"CAUDAL_2";"CAUDAL_ACUMUL.1";"CAUDAL_ACUMUL.2";"DECANTER";"DEC_HORAS_PARCIAL";"DEC_HORAS_TOTAL";"INT_MD";"PAR_BD";"RPM_BD";"RPM_DIF";"RPM_MD";"T_ROD_ALIM";"T_ROD_SAL";"VIBRAC"
1713225614;"16/04/2024 00:00:14";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.5;0.1757812
1713225615;"16/04/2024 00:00:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.5;0.1855469
1713225675;"16/04/2024 00:01:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.5;0.1855469
1713225735;"16/04/2024 00:02:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.5;0.1757812
1713225795;"16/04/2024 00:03:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.5;0.2148438
1713225855;"16/04/2024 00:04:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44.25;43.25;0.1855469
1713225915;"16/04/2024 00:05:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43.25;0.2246094
1713225975;"16/04/2024 00:06:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43.25;0.1953125
1713226035;"16/04/2024 00:07:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43.25;0.2050781
1713226095;"16/04/2024 00:08:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43.25;0.1855469
1713226155;"16/04/2024 00:09:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43;0.1757812
1713226215;"16/04/2024 00:10:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;44;43;0.1757812
1713226275;"16/04/2024 00:11:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;43.75;43.25;0.2050781
1713226335;"16/04/2024 00:12:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;43.75;43;0.2246094
